name	type	units	sampling_frequency
A1	EEG	uV	2048
A2	EEG	uV	2048
A3	OTHER	unknown	2048
A4	OTHER	unknown	2048
A5	OTHER	unknown	2048
A6	OTHER	unknown	2048
A7	OTHER	unknown	2048
A8	OTHER	unknown	2048
A9	OTHER	unknown	2048
A10	OTHER	unknown	2048
B1	OTHER	unknown	2048
B2	OTHER	unknown	2048
B3	OTHER	unknown	2048
B4	OTHER	unknown	2048
B5	OTHER	unknown	2048
B6	OTHER	unknown	2048
B7	OTHER	unknown	2048
B8	OTHER	unknown	2048
B9	OTHER	unknown	2048
B10	OTHER	unknown	2048
B11	OTHER	unknown	2048
B12	OTHER	unknown	2048
D1	OTHER	unknown	2048
D2	OTHER	unknown	2048
D3	OTHER	unknown	2048
D4	OTHER	unknown	2048
D5	OTHER	unknown	2048
D6	OTHER	unknown	2048
D7	OTHER	unknown	2048
D8	OTHER	unknown	2048
D9	OTHER	unknown	2048
D10	OTHER	unknown	2048
K1	OTHER	unknown	2048
K2	OTHER	unknown	2048
K3	OTHER	unknown	2048
K4	OTHER	unknown	2048
K5	OTHER	unknown	2048
K6	OTHER	unknown	2048
K7	OTHER	unknown	2048
K8	OTHER	unknown	2048
K9	OTHER	unknown	2048
K10	OTHER	unknown	2048
C1	EEG	uV	2048
C2	EEG	uV	2048
C3	EEG	uV	2048
C4	EEG	uV	2048
C5	EEG	uV	2048
C6	EEG	uV	2048
C7	OTHER	unknown	2048
C8	OTHER	unknown	2048
C9	OTHER	unknown	2048
C10	OTHER	unknown	2048
C11	OTHER	unknown	2048
C12	OTHER	unknown	2048
E1	OTHER	unknown	2048
E2	OTHER	unknown	2048
E3	OTHER	unknown	2048
E4	OTHER	unknown	2048
E5	OTHER	unknown	2048
E6	OTHER	unknown	2048
E7	OTHER	unknown	2048
E8	OTHER	unknown	2048
E9	OTHER	unknown	2048
E10	OTHER	unknown	2048
L1	OTHER	unknown	2048
L2	OTHER	unknown	2048
L3	OTHER	unknown	2048
L4	OTHER	unknown	2048
L5	OTHER	unknown	2048
L6	OTHER	unknown	2048
L7	OTHER	unknown	2048
L8	OTHER	unknown	2048
L9	OTHER	unknown	2048
L10	OTHER	unknown	2048
L11	OTHER	unknown	2048
L12	OTHER	unknown	2048
L13	OTHER	unknown	2048
L14	OTHER	unknown	2048
L15	OTHER	unknown	2048
F1	EEG	uV	2048
F2	EEG	uV	2048
F3	EEG	uV	2048
F4	EEG	uV	2048
F5	EEG	uV	2048
F6	EEG	uV	2048
F7	EEG	uV	2048
F8	EEG	uV	2048
F9	EEG	uV	2048
F10	EEG	uV	2048
F11	OTHER	unknown	2048
F12	OTHER	unknown	2048
F13	OTHER	unknown	2048
F14	OTHER	unknown	2048
F15	OTHER	unknown	2048
G1	OTHER	unknown	2048
G2	OTHER	unknown	2048
G3	OTHER	unknown	2048
G4	OTHER	unknown	2048
G5	OTHER	unknown	2048
G6	OTHER	unknown	2048
G7	OTHER	unknown	2048
G8	OTHER	unknown	2048
G9	OTHER	unknown	2048
G10	OTHER	unknown	2048
H1	OTHER	unknown	2048
H2	OTHER	unknown	2048
H3	OTHER	unknown	2048
H4	OTHER	unknown	2048
H5	OTHER	unknown	2048
H6	OTHER	unknown	2048
H7	OTHER	unknown	2048
H8	OTHER	unknown	2048
H9	OTHER	unknown	2048
H10	OTHER	unknown	2048
C115	OTHER	unknown	2048
C116	OTHER	unknown	2048
C117	OTHER	unknown	2048
C118	OTHER	unknown	2048
C119	OTHER	unknown	2048
C120	OTHER	unknown	2048
C121	OTHER	unknown	2048
C122	OTHER	unknown	2048
C123	OTHER	unknown	2048
C124	OTHER	unknown	2048
C125	OTHER	unknown	2048
C126	OTHER	unknown	2048
C127	OTHER	unknown	2048
C128	OTHER	unknown	2048
I1	EEG	uV	2048
I2	EEG	uV	2048
I3	OTHER	unknown	2048
I4	OTHER	unknown	2048
I5	OTHER	unknown	2048
I6	OTHER	unknown	2048
I7	OTHER	unknown	2048
I8	OTHER	unknown	2048
I9	OTHER	unknown	2048
I10	OTHER	unknown	2048
I11	OTHER	unknown	2048
I12	OTHER	unknown	2048
I13	OTHER	unknown	2048
I14	OTHER	unknown	2048
I15	OTHER	unknown	2048
J1	OTHER	unknown	2048
J2	OTHER	unknown	2048
J3	OTHER	unknown	2048
J4	OTHER	unknown	2048
J5	OTHER	unknown	2048
J6	OTHER	unknown	2048
J7	OTHER	unknown	2048
J8	OTHER	unknown	2048
J9	OTHER	unknown	2048
J10	OTHER	unknown	2048
J11	OTHER	unknown	2048
J12	OTHER	unknown	2048
C156	OTHER	unknown	2048
RD	OTHER	unknown	2048
LD	OTHER	unknown	2048
RECG	OTHER	unknown	2048
LECG	OTHER	unknown	2048
C161	OTHER	unknown	2048
C162	OTHER	unknown	2048
C163	OTHER	unknown	2048
C164	OTHER	unknown	2048
C165	OTHER	unknown	2048
C166	OTHER	unknown	2048
C167	OTHER	unknown	2048
C168	OTHER	unknown	2048
C169	OTHER	unknown	2048
C170	OTHER	unknown	2048
C171	OTHER	unknown	2048
C172	OTHER	unknown	2048
C173	OTHER	unknown	2048
C174	OTHER	unknown	2048
C175	OTHER	unknown	2048
C176	OTHER	unknown	2048
C177	OTHER	unknown	2048
C178	OTHER	unknown	2048
C179	OTHER	unknown	2048
C180	OTHER	unknown	2048
C181	OTHER	unknown	2048
C182	OTHER	unknown	2048
C183	OTHER	unknown	2048
C184	OTHER	unknown	2048
C185	OTHER	unknown	2048
C186	OTHER	unknown	2048
C187	OTHER	unknown	2048
C188	OTHER	unknown	2048
C189	OTHER	unknown	2048
C190	OTHER	unknown	2048
C191	OTHER	unknown	2048
C192	OTHER	unknown	2048
C193	OTHER	unknown	2048
C194	OTHER	unknown	2048
C195	OTHER	unknown	2048
C196	OTHER	unknown	2048
C197	OTHER	unknown	2048
C198	OTHER	unknown	2048
C199	OTHER	unknown	2048
C200	OTHER	unknown	2048
C201	OTHER	unknown	2048
C202	OTHER	unknown	2048
C203	OTHER	unknown	2048
C204	OTHER	unknown	2048
C205	OTHER	unknown	2048
C206	OTHER	unknown	2048
C207	OTHER	unknown	2048
C208	OTHER	unknown	2048
C209	OTHER	unknown	2048
C210	OTHER	unknown	2048
C211	OTHER	unknown	2048
C212	OTHER	unknown	2048
C213	OTHER	unknown	2048
C214	OTHER	unknown	2048
C215	OTHER	unknown	2048
C216	OTHER	unknown	2048
C217	OTHER	unknown	2048
C218	OTHER	unknown	2048
C219	OTHER	unknown	2048
C220	OTHER	unknown	2048
C221	OTHER	unknown	2048
C222	OTHER	unknown	2048
C223	OTHER	unknown	2048
C224	OTHER	unknown	2048
C225	OTHER	unknown	2048
C226	OTHER	unknown	2048
C227	OTHER	unknown	2048
C228	OTHER	unknown	2048
C229	OTHER	unknown	2048
C230	OTHER	unknown	2048
C231	OTHER	unknown	2048
C232	OTHER	unknown	2048
C233	OTHER	unknown	2048
C234	OTHER	unknown	2048
C235	OTHER	unknown	2048
C236	OTHER	unknown	2048
C237	OTHER	unknown	2048
C238	OTHER	unknown	2048
C239	OTHER	unknown	2048
C240	OTHER	unknown	2048
C241	OTHER	unknown	2048
C242	OTHER	unknown	2048
C243	OTHER	unknown	2048
C244	OTHER	unknown	2048
C245	OTHER	unknown	2048
C246	OTHER	unknown	2048
C247	OTHER	unknown	2048
C248	OTHER	unknown	2048
C249	OTHER	unknown	2048
C250	OTHER	unknown	2048
C251	OTHER	unknown	2048
C252	OTHER	unknown	2048
C253	OTHER	unknown	2048
C254	OTHER	unknown	2048
C255	OTHER	unknown	2048
C256	OTHER	unknown	2048
DC1	OTHER	unknown	2048
DC2	OTHER	unknown	2048
DC3	OTHER	unknown	2048
DC4	OTHER	unknown	2048
